================================================================================
HMM 状態別デコード分析  k=9
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
  aiir               75.0%      0%    100%    100%
  aiis               75.0%      0%    100%    100%
  diil               75.0%      0%    100%    100%
  diir               75.0%      0%    100%    100%
  kiin               75.0%      0%    100%    100%
  oiin               75.0%      0%    100%    100%
  oiir               75.0%      0%    100%    100%
  yiin               75.0%      0%    100%    100%
  aiiinro            71.4%      0%    100%      0%
  aiisaim            71.4%      0%     80%    100%
  daiiils            71.4%      0%     80%    100%
  daiiine            71.4%      0%     80%    100%
  daiinls            71.4%      0%     80%    100%
  aii                66.7%      0%    100%    100%
  aiidal             66.7%      0%     75%    100%

────────────────────────────────────────────────────────────────────────────────
  State 5: S5
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  qo                 50.0%    100%    N/A      0%
  qy                 50.0%    100%    N/A      0%
  sa                 50.0%    100%    N/A      0%
  so                 50.0%    100%    N/A      0%
  ss                 50.0%    100%    N/A      0%
  sy                 50.0%    100%    N/A      0%
  vo                 50.0%    100%    N/A      0%
  vs                 50.0%    100%    N/A      0%
  day                33.3%    100%      0%      0%
  diy                33.3%    100%      0%      0%
  dld                33.3%    100%      0%      0%
  dls                33.3%    100%      0%      0%
  dly                33.3%    100%      0%      0%
  dod                33.3%    100%      0%      0%
  dol                33.3%    100%      0%      0%
  dpy                33.3%    100%      0%      0%
  dsh                33.3%    100%      0%      0%
  fol                33.3%    100%      0%      0%
  kod                33.3%    100%      0%      0%
  pol                33.3%    100%      0%      0%
  qef                33.3%    100%      0%      0%
  qey                33.3%    100%      0%      0%
  qko                33.3%    100%      0%      0%
  qod                33.3%    100%      0%      0%
  qof                33.3%    100%      0%      0%
  qok                33.3%    100%      0%      0%
  qol                33.3%    100%      0%      0%
  qop                33.3%    100%      0%      0%
  qor                33.3%    100%      0%      0%
  qos                33.3%    100%      0%      0%

────────────────────────────────────────────────────────────────────────────────
  State 6: S6
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  ag                 50.0%    100%    N/A      0%
  al                 50.0%    100%    N/A      0%
  araydy             50.0%    100%     50%      0%
  ek                 50.0%    100%    N/A      0%
  el                 50.0%    100%    N/A      0%
  lk                 50.0%    100%    N/A      0%
  lt                 50.0%    100%    N/A      0%
  oa                 50.0%    100%    N/A      0%
  oaro               50.0%    100%     50%      0%
  oc                 50.0%    100%    N/A      0%
  od                 50.0%    100%    N/A      0%
  of                 50.0%    100%    N/A      0%
  ok                 50.0%    100%    N/A      0%
  ol                 50.0%    100%    N/A      0%
  ootady             50.0%    100%     50%      0%
  op                 50.0%    100%    N/A      0%
  oqol               50.0%    100%     50%      0%
  or                 50.0%    100%    N/A      0%
  os                 50.0%    100%    N/A      0%
  ot                 50.0%    100%    N/A      0%
  oy                 50.0%    100%    N/A      0%
  oyty               50.0%    100%     50%      0%
  ya                 50.0%    100%    N/A      0%
  yd                 50.0%    100%    N/A      0%
  yk                 50.0%    100%    N/A      0%
  yy                 50.0%    100%    N/A      0%
  oraryteop          44.4%    100%     43%      0%
  oafoaly            42.9%    100%     40%      0%
  odalaly            42.9%    100%     40%      0%
  oekaody            42.9%    100%     40%      0%

────────────────────────────────────────────────────────────────────────────────
  State 7: S7
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  ag                 50.0%      0%    N/A    100%
  aiip               50.0%    100%      0%    100%
  ainaly             50.0%    100%     25%    100%
  ainy               50.0%    100%      0%    100%
  airy               50.0%    100%      0%    100%
  am                 50.0%    100%    N/A      0%
  an                 50.0%    100%    N/A      0%
  ar                 50.0%    100%    N/A      0%
  as                 50.0%    100%    N/A      0%
  co                 50.0%      0%    N/A    100%
  cy                 50.0%      0%    N/A    100%
  da                 50.0%      0%    N/A    100%
  dd                 50.0%      0%    N/A    100%
  dg                 50.0%      0%    N/A    100%
  dl                 50.0%      0%    N/A    100%
  dm                 50.0%      0%    N/A    100%
  do                 50.0%      0%    N/A    100%
  dr                 50.0%      0%    N/A    100%
  ds                 50.0%      0%    N/A    100%
  dy                 50.0%      0%    N/A    100%
  em                 50.0%      0%    N/A    100%
  eo                 50.0%      0%    N/A    100%
  es                 50.0%      0%    N/A    100%
  ey                 50.0%      0%    N/A    100%
  fo                 50.0%      0%    N/A    100%
  gm                 50.0%    100%    N/A      0%
  hs                 50.0%      0%    N/A    100%
  hy                 50.0%      0%    N/A    100%
  ka                 50.0%      0%    N/A    100%
  kl                 50.0%      0%    N/A    100%

